,premise,hypothesis,labels,genre
943,"Although it's hard to disagree with James Surowiecki's roasting of Wade Cook in The Book on Cook, Surowiecki's assertion that the equity stock option market is simply a big casino that contribute[s] nothing to the smooth functioning of capital markets is both wrong and silly.",Wade Cook wrote The Book on Cook.,1,slate
944,"There is no tradition of clothes criticism that includes serious analysis, or even of costume criticism among theater, ballet, and opera critics, who do have an august writerly heritage.",Clothes criticism is not serious. ,0,slate
945,well yeah that really is scary,It doesn't scare me.,1,telephone
947,But of course the DSM is informed by social values.,Social values were not taken into consideration during the DSM's creation.,1,slate
949,36 AC usage nationally for mercury control from power plants should be roughly proportional to the total MWe of coal-fired facilities that are equipped with the technology (this assumes an average capacity factor of 85 percent and other assumptions of Tables 4-4 and 4-5).,Mercury control from power plants does not required AC.,1,government
950,"The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.",He was attracted by the waterfalls and river.,0,travel
951,"What's truly striking, though, is that Jobs has never really let this idea go.",Jobs clung to an idea.,0,slate
952,uh-huh how about any matching programs,Is there a matching program? ,0,telephone
953,you know maybe it just wasn't possible at all in the first place you know like the no new taxes thing you know that's uh with the economy going the way it is and everything that was nearly ridiculous thing to,"Probably it just wasn't achievable to begin with, no new taxes, with the way the economy is right now that is a absurd thing to do",0,telephone
955,"Or Sherlock Holmes?""",I think it was Sherlock Holmes?,0,fiction
956,It was deserved.,it was not deserved at all,1,fiction
957,"Two bronze lions, carrying out feng shui principles, guard its doors.","Two golden calfs, carrying out capitalist principles, laugh at customers.",1,travel
958,I have a situation.,Everything is fine and I have nothing on my mind.,1,slate
961,oh like if they say i i we just type it in like that,Change it before typing it in.,1,telephone
962,it's so bad wanted to mow today i was off and i wanted to mow the yard but just walking across it it's still so mushy if i took a mower out there i'd tear the sod up so bad,The lawn mower will sink into the mushy lawn and pull up the grass. ,0,telephone
964,"Still, I guess that can be got over.",I suppose you can get over that.,0,fiction
965,"Perched on a steep slope, high in the Galilean hills, Safed (known also as Tzfat, Tsfat, Sefat, and Zefat) is a delightful village-town of some 22,000 people.",Safed is a village that goes by numerous other names.,0,travel
967,"Ocho Rios is Spanish for  eight rivers,  but this name is not descriptive of the area.","""Ocho Rios"" means eight rivers in Spain's national language.",0,travel
970,exactly and when i'm sitting here on the sofa cross-stitching and all of a sudden somebody a man's got their hand on my door knob it's like uh like oh no and so i don't i don't like that and i guess the only way to prevent it would be just to pass a city ordinance to prevent that or,I am cross-stitching whilst sitting on the sofa when suddenly a man places his hand on my door knob. ,0,telephone
971,"him?"" she asked.",She asked about him.,0,fiction
972,"Each individual's survival curve, or the probability of surviving beyond a given age, should shift as a result of an environmental quality improvement.",Environmental quality has no impact on the life expectancy of people who are already old.,1,government
973,yeah it's true it is in in fact i have a friend of mine that moved to North Carolina she's um an emergency room nurse she does the operating room,This person I'm close to is an emergency room nurse at a hospital in North Carolina.,0,telephone
976,The number of steps built down into the interior means that it is unsuitable for the infirm or those with heart problems.,The interior is well suited for those with cardiac issues.,1,travel
977,it's the very same type of paint and everything,The paint is completely different to the brand I had originally picked.,1,telephone
978,"I have to tell you, I tried to understand it.",I did my best to understand it.,0,fiction
979,"Once they know their Social Security benefits promised under current law, workers can calculate how much they can expect from employer-sponsored pension plans and how much they need to save on their own for retirement.",Employer sponsored pension plans give workers money so that they can save for retirement.,0,government
980,His off-the-cuff style seems amateurish next to Inglis' polished mini-essays.,He didn't look like an amateur ,1,slate
981,in each square,On the square outline.,1,telephone
982,BUDGETARY RESOURCES - The forms of authority given to an agency allowing it to incur obligations.,Budgetary resources refers to the ways in which the agency is allowed to manage its budget.,1,government
983,"If she wasn't, how would they have known Jane Finn had got the papers?",How would they know that Jane Finn had lost the papers?,1,fiction
986,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.",Mainichi Shimbun approved of Keizo Obuchi's efforts toward improving the economy.,1,slate
